DATE,MAASTRICHT_cloud_cover,MAASTRICHT_wind_speed,MAASTRICHT_wind_gust,MAASTRICHT_humidity,MAASTRICHT_pressure,MAASTRICHT_global_radiation,MAASTRICHT_precipitation,MAASTRICHT_sunshine,MAASTRICHT_temp_mean,MAASTRICHT_temp_min,MAASTRICHT_temp_max,MAASTRICHT_picnic_weather
20020825,6,2.3,6.0,0.8,1.0232,1.47,0.0,3.8,17.4,13.7,21.5,True
20020826,6,4.4,9.0,0.85,1.0182,1.22,0.0,0.8,18.9,15.0,22.8,True
20020827,7,2.3,7.0,0.94,1.0146,0.48,0.0,0.0,18.8,16.7,21.1,True
20020828,6,3.6,8.0,0.88,1.016,1.27,0.17,3.8,20.3,17.7,24.8,False
20020829,5,1.5,5.0,0.86,1.0186,1.44,0.0,2.6,19.2,15.7,23.6,True
20020830,5,2.5,7.0,0.86,1.0194,1.58,0.0,6.6,17.9,14.8,23.3,True
20020831,6,3.2,10.0,0.85,1.0218,1.13,0.13,2.6,17.1,14.6,21.8,False
20020901,5,3.0,8.0,0.71,1.029,1.58,0.0,4.1,15.3,12.0,19.0,True
20020902,3,3.8,12.0,0.7,1.0271,2.35,0.0,12.1,16.2,9.8,22.0,True
20020903,2,3.8,11.0,0.69,1.0174,2.02,0.0,10.3,15.7,11.2,22.5,True
20020904,6,2.5,8.0,0.84,1.0121,1.42,0.18,3.8,15.9,9.5,21.2,False
20020905,5,2.8,7.0,0.81,1.0149,1.78,0.0,6.3,17.1,13.4,21.9,True
20020906,5,4.5,10.0,0.78,1.0165,1.59,0.0,6.5,16.4,12.7,20.7,True
20020907,6,4.5,13.0,0.73,1.0125,1.59,0.0,5.7,17.4,14.1,21.9,True
20020908,5,3.1,9.0,0.72,1.011,1.89,0.01,7.9,18.6,12.6,24.5,False
20020909,6,3.7,11.0,0.74,1.012,1.21,0.0,3.1,18.3,13.4,23.3,True
20020910,7,1.5,6.0,0.8,1.0209,1.1,0.03,1.1,15.3,12.9,18.8,False
20020911,7,2.1,8.0,0.88,1.025,1.07,0.31,2.2,15.0,13.2,18.6,False
20020912,4,3.9,11.0,0.8,1.0245,1.7,0.0,7.3,16.9,12.8,22.6,True
20020913,1,3.4,8.0,0.73,1.0243,2.11,0.0,12.0,15.7,9.4,22.0,True
20020914,6,2.4,7.0,0.83,1.0227,0.82,0.0,0.6,15.0,11.2,18.8,True
20020915,4,3.1,9.0,0.73,1.0218,1.86,0.0,7.3,15.2,10.3,19.7,True
20020916,5,1.6,6.0,0.8,1.0201,1.28,0.0,4.5,13.1,6.9,18.5,True
20020917,6,1.3,3.0,0.79,1.0185,1.02,0.0,2.1,13.9,9.8,18.1,True
20020918,6,2.0,7.0,0.78,1.0168,1.07,0.0,1.9,13.7,10.6,18.0,True
20020919,7,3.3,7.0,0.74,1.016,1.38,0.0,3.8,14.3,10.7,18.6,True
20020920,6,1.9,5.0,0.78,1.0198,0.92,0.0,1.5,14.3,10.9,17.6,False
20020921,6,1.5,5.0,0.82,1.0175,0.69,0.0,0.6,13.2,11.1,16.2,False
20020922,7,3.0,10.0,0.88,1.0114,0.95,0.74,4.0,12.0,9.2,16.7,False
20020923,5,6.6,15.0,0.75,1.0162,1.26,0.05,4.5,11.1,7.5,14.8,False
20020924,2,5.3,15.0,0.69,1.0212,1.9,0.0,9.8,9.6,6.5,14.3,False
20020925,8,3.0,7.0,0.95,1.0183,0.38,0.87,0.0,9.4,5.5,12.3,False
20020926,7,2.7,8.0,0.91,1.017,0.64,0.67,1.2,11.6,10.2,13.5,False
20020927,6,2.1,5.0,0.88,1.0238,1.02,0.0,3.1,12.9,9.4,17.4,False
20020928,4,1.6,5.0,0.83,1.0287,1.45,0.0,6.4,11.4,5.9,17.4,False
20020929,2,2.3,7.0,0.78,1.0289,1.6,0.0,9.3,12.3,6.5,18.4,True
20020930,2,1.9,4.0,0.69,1.0258,1.73,0.0,10.5,12.7,6.4,19.7,True
20021001,5,1.9,5.0,0.74,1.0231,1.46,0.0,7.7,14.0,6.8,21.1,True
20021002,7,2.3,5.0,0.79,1.0212,1.12,0.0,4.9,15.1,9.1,20.5,True
20021003,8,4.1,9.0,0.9,1.0227,0.48,0.3,0.0,15.2,13.3,16.9,False
20021004,4,2.4,8.0,0.83,1.0266,1.28,0.0,6.5,12.9,8.7,17.5,False
20021005,7,4.6,11.0,0.94,1.0219,0.38,0.44,0.0,11.7,7.8,14.0,False
20021006,6,5.0,15.0,0.86,1.0158,0.44,0.21,1.7,10.7,5.8,13.1,False
20021007,6,2.6,7.0,0.89,1.0186,0.91,0.02,2.4,8.1,1.6,13.4,False
20021008,4,4.0,8.0,0.82,1.0149,1.17,0.0,5.3,7.7,4.1,11.6,False
20021009,2,6.7,13.0,0.73,1.0092,1.5,0.0,10.0,8.8,3.5,14.1,False
20021010,5,6.1,13.0,0.76,1.0099,1.36,0.0,9.0,9.2,5.3,14.0,False
20021011,5,3.7,9.0,0.8,1.014,0.73,0.0,1.8,7.1,3.0,10.5,False
20021012,8,2.2,6.0,0.82,1.012,0.5,0.05,0.2,8.4,6.9,10.6,False
20021013,8,2.4,8.0,0.89,1.0113,0.65,0.02,1.6,9.9,7.5,13.0,False
20021014,8,7.4,20.0,0.82,1.0067,0.15,0.24,0.0,11.2,10.1,12.1,False
20021015,7,3.9,12.0,0.88,1.0076,0.34,0.04,0.0,11.9,9.4,14.2,False
20021016,6,5.5,18.0,0.86,1.0002,0.4,0.6,1.1,12.2,10.3,15.2,False
20021017,6,3.6,12.0,0.86,1.0019,0.77,0.02,3.2,9.5,5.9,12.9,False
20021018,6,4.8,12.0,0.88,1.008,0.66,1.21,1.8,7.2,4.7,11.3,False
20021019,5,4.1,10.0,0.86,1.018,0.71,0.01,3.4,6.1,1.8,9.5,False
20021020,6,3.8,10.0,0.77,1.0165,0.72,0.0,2.8,6.6,2.1,10.7,False
20021021,7,4.4,11.0,0.9,0.9993,0.22,0.29,0.7,12.3,6.5,15.7,False
20021022,7,6.2,16.0,0.84,0.9909,0.53,0.08,2.4,14.1,11.9,17.2,False
20021023,5,7.2,17.0,0.8,0.9991,0.68,0.43,3.7,10.1,6.8,13.9,False
20021024,4,5.4,12.0,0.79,1.0099,0.99,0.0,7.5,8.6,5.0,12.4,False
20021025,7,7.3,23.0,0.87,0.9992,0.19,0.88,0.2,12.0,10.0,13.7,False
20021026,5,9.0,24.0,0.71,1.0114,0.77,0.14,5.3,11.4,9.2,14.5,False
20021027,7,12.0,31.0,0.75,1.0075,0.63,1.79,4.3,12.3,9.3,16.7,False
20021028,2,5.5,13.0,0.75,1.028,0.87,0.0,7.4,8.1,4.1,12.1,False
20021029,7,3.2,8.0,0.76,1.0191,0.37,0.0,0.0,9.3,5.5,12.0,False
20021030,8,2.8,8.0,0.97,1.0147,0.12,0.6,0.0,10.3,9.1,11.4,False
20021031,6,1.4,4.0,0.97,1.0192,0.28,0.02,0.8,8.5,4.3,11.2,False
20021101,8,4.6,12.0,0.92,1.0166,0.23,0.61,0.9,11.4,4.7,13.9,False
20021102,7,4.2,12.0,0.9,1.0117,0.69,0.66,4.7,13.0,11.5,15.6,False
20021103,6,5.4,15.0,0.85,1.0064,0.63,1.21,4.7,12.0,8.1,14.6,False
20021104,6,3.6,9.0,0.91,1.0153,0.4,0.15,2.3,9.2,7.9,11.9,False
20021105,6,1.9,4.0,0.97,1.0246,0.33,0.0,1.4,7.7,3.5,10.0,False
20021106,4,4.5,10.0,0.85,1.018,0.78,0.48,6.7,7.2,3.0,11.3,False
20021107,7,3.9,11.0,0.9,1.0125,0.26,0.96,0.5,6.6,4.4,8.2,False
20021108,7,7.5,20.0,0.9,1.0096,0.33,0.95,0.5,6.0,2.2,9.1,False
20021109,6,4.1,16.0,0.89,1.0035,0.57,0.64,4.0,7.7,2.0,10.7,False
20021110,7,3.8,10.0,0.94,1.0066,0.32,0.97,0.2,6.3,0.9,10.8,False
20021111,5,5.2,12.0,0.89,1.0054,0.6,0.4,5.5,10.4,8.3,12.5,False
20021112,7,6.8,14.0,0.83,1.0071,0.59,0.13,5.9,10.1,7.9,12.4,False
20021113,7,5.6,15.0,0.84,0.9961,0.3,0.31,1.7,9.9,6.7,11.7,False
20021114,6,5.6,13.0,0.75,0.9892,0.33,0.0,3.0,10.6,6.7,12.5,False
20021115,7,2.1,7.0,0.89,0.9943,0.3,0.0,0.2,7.6,5.1,10.9,False
20021116,8,2.8,8.0,0.98,0.9986,0.2,0.13,0.0,7.2,5.3,8.5,False
20021117,7,3.8,8.0,0.92,1.0097,0.3,0.06,1.0,8.7,6.6,11.0,False
20021118,7,2.5,5.0,0.92,1.0143,0.26,0.0,0.2,8.3,5.5,10.3,False
20021119,7,2.2,5.0,0.91,1.0134,0.22,0.0,0.0,7.1,4.9,8.7,False
20021120,4,2.8,6.0,0.88,1.009,0.52,0.0,5.9,6.6,3.1,10.6,False
20021121,7,5.5,18.0,0.77,0.9968,0.28,0.0,1.7,11.2,7.6,14.3,False
20021122,4,4.1,11.0,0.83,1.0003,0.32,0.0,1.7,8.4,6.0,10.9,False
20021123,3,3.7,9.0,0.82,1.0058,0.53,0.44,5.5,8.5,4.9,12.3,False
20021124,5,3.0,6.0,0.9,1.0083,0.39,0.0,2.5,7.3,5.4,9.8,False
20021125,8,3.1,9.0,0.93,1.0032,0.1,0.37,0.5,8.1,6.1,10.4,False
20021126,6,2.6,8.0,0.94,1.0145,0.2,0.0,0.9,7.0,2.6,9.2,False
20021127,1,2.8,6.0,0.9,1.0149,0.57,0.0,7.2,5.5,1.5,9.9,False
20021128,7,3.6,9.0,0.86,1.0109,0.31,0.02,2.1,7.6,3.9,10.8,False
20021129,7,2.9,8.0,0.87,1.014,0.38,0.0,1.8,8.6,5.3,10.8,False
20021130,8,2.9,6.0,0.95,1.0206,0.18,0.07,0.2,7.4,5.8,8.7,False
20021201,7,5.4,12.0,0.87,1.0091,0.33,0.6,1.9,7.0,5.1,9.1,False
20021202,6,5.3,13.0,0.9,1.002,0.11,0.2,0.0,6.5,5.0,7.3,False
20021203,8,1.8,5.0,0.94,1.0117,0.35,0.11,2.4,6.9,5.1,9.3,False
20021204,5,2.6,7.0,0.92,1.0149,0.36,0.0,3.2,5.1,3.3,7.7,False
20021205,7,3.5,9.0,0.9,1.021,0.24,0.0,0.3,4.7,2.6,6.7,False
20021206,8,5.6,11.0,0.87,1.0269,0.1,0.0,0.0,1.5,0.0,4.6,False
20021207,8,4.7,10.0,0.88,1.0247,0.12,0.0,0.3,0.6,-0.8,1.4,False
20021208,4,4.6,10.0,0.78,1.0259,0.2,0.0,1.0,-1.1,-3.1,0.7,False
20021209,0,4.8,10.0,0.71,1.0266,0.48,0.0,6.6,-4.7,-7.1,-2.2,False
20021210,3,7.2,13.0,0.66,1.0239,0.39,0.0,3.8,-4.2,-7.6,-1.7,False
20021211,0,7.3,14.0,0.67,1.0227,0.51,0.0,6.6,-4.7,-7.0,-1.7,False
20021212,5,2.8,6.0,0.74,1.0213,0.23,0.0,1.5,-2.2,-4.7,1.5,False
20021213,7,1.3,4.0,0.9,1.0237,0.2,0.0,0.7,0.7,-4.5,4.0,False
20021214,8,3.6,9.0,0.93,1.0193,0.14,0.0,0.0,2.7,1.3,4.8,False
20021215,8,4.4,11.0,0.91,1.0105,0.15,0.3,0.3,4.5,1.7,8.5,False
20021216,8,6.8,14.0,0.94,1.0121,0.12,0.37,0.0,6.1,3.6,7.8,False
20021217,8,4.0,9.0,0.94,1.0229,0.04,0.07,0.0,1.3,-0.7,3.6,False
20021218,3,2.7,8.0,0.87,1.0321,0.47,0.0,6.5,-0.7,-2.9,1.2,False
20021219,1,3.3,8.0,0.87,1.0294,0.49,0.0,6.7,0.0,-3.4,3.2,False
20021220,6,3.3,7.0,0.92,1.0198,0.23,0.0,0.6,1.0,-3.4,3.9,False
20021221,8,1.6,4.0,0.99,1.018,0.1,0.13,0.0,4.4,3.0,5.6,False
20021222,8,6.0,15.0,0.95,1.0082,0.03,1.92,0.0,9.2,5.4,11.9,False
20021223,8,2.7,8.0,0.95,1.0122,0.12,0.08,0.2,7.6,5.9,10.3,False
20021224,8,5.2,10.0,0.89,1.0113,0.15,0.08,0.2,10.6,9.6,11.2,False
20021225,7,3.5,8.0,0.88,1.0137,0.2,0.01,0.2,10.3,8.4,12.0,False
20021226,6,5.4,12.0,0.87,1.0051,0.14,0.31,1.2,9.8,6.8,11.4,False
20021227,8,4.9,11.0,0.86,0.9958,0.11,0.22,0.0,11.7,10.8,12.5,False
20021228,8,5.0,11.0,0.91,1.0002,0.06,0.18,0.0,8.9,7.3,11.3,False
20021229,8,6.7,16.0,0.93,1.0031,0.07,2.65,0.0,8.7,6.4,12.2,False
20021230,8,7.9,19.0,0.91,0.9994,0.06,1.07,0.0,10.7,3.6,12.6,False
20021231,8,4.0,10.0,0.9,1.0111,0.08,0.3,0.0,1.1,0.4,3.7,False
20030101,8,6.6,19.0,0.91,1.002,0.1,1.53,0.3,6.0,1.1,11.4,False
20030102,7,8.6,21.0,0.88,0.9878,0.21,0.92,2.0,9.8,7.5,13.2,False
20030103,8,6.7,16.0,0.9,0.9968,0.15,0.9,0.2,7.2,2.5,8.8,False
20030104,8,6.5,12.0,0.76,1.0087,0.16,0.0,0.5,-0.9,-2.3,2.5,False
20030105,7,3.7,8.0,0.85,1.0139,0.36,0.02,2.3,-2.5,-5.5,-0.7,False
20030106,7,4.6,12.0,0.82,1.0153,0.21,0.09,1.5,-2.1,-4.6,-0.4,False
20030107,7,3.8,8.0,0.8,1.02,0.29,0.0,1.5,-4.9,-6.1,-2.9,False
20030108,1,4.0,8.0,0.65,1.0173,0.57,0.0,7.2,-7.7,-9.8,-5.5,False
20030109,0,4.1,9.0,0.66,1.0196,0.52,0.0,7.2,-7.9,-10.2,-4.5,False
20030110,6,2.6,7.0,0.76,1.0255,0.36,0.0,2.3,-6.1,-11.7,-2.3,False
20030111,2,2.6,7.0,0.84,1.0349,0.55,0.0,6.2,-4.3,-7.8,-0.9,False
20030112,6,3.4,9.0,0.88,1.0348,0.18,0.0,0.5,-3.0,-8.3,0.6,False
20030113,8,7.3,14.0,0.95,1.0278,0.04,0.14,0.0,3.1,-1.1,5.9,False
20030114,8,7.3,14.0,0.91,1.0302,0.09,0.02,0.0,5.8,5.1,6.7,False
20030115,8,8.5,16.0,0.82,1.0257,0.13,0.51,0.0,4.4,3.4,5.3,False
20030116,6,5.8,10.0,0.92,1.028,0.37,0.0,4.0,3.9,1.6,6.3,False
20030117,3,5.5,13.0,0.82,1.0207,0.59,0.0,7.0,3.0,0.5,6.1,False
20030118,5,5.0,11.0,0.91,1.0174,0.14,0.0,0.0,2.6,-0.6,4.2,False
20030119,7,6.2,18.0,0.82,1.0056,0.17,0.04,0.0,5.1,-0.9,7.6,False
20030120,7,7.1,15.0,0.81,1.0012,0.25,0.22,1.2,7.8,5.6,9.7,False
20030121,7,5.2,13.0,0.82,0.991,0.32,0.0,2.4,7.8,6.5,10.0,False
20030122,8,5.8,14.0,0.87,0.9948,0.21,0.23,1.0,6.9,5.5,8.4,False
20030123,8,4.9,11.0,0.91,1.0188,0.04,0.09,0.0,5.5,2.6,6.9,False
20030124,3,2.1,5.0,0.85,1.0375,0.65,0.0,6.3,1.9,-1.3,5.3,False
20030125,4,5.4,13.0,0.84,1.0323,0.63,0.07,7.2,2.6,-0.9,5.4,False
20030126,8,5.7,12.0,0.96,1.0287,0.22,0.36,0.5,4.7,2.5,7.0,False
20030127,8,5.4,13.0,0.97,1.0251,0.09,0.21,0.0,8.8,6.3,10.0,False
20030128,8,7.8,22.0,0.85,1.0125,0.2,1.0,0.3,4.7,0.2,8.7,False
20030129,8,5.8,15.0,0.92,1.001,0.12,0.69,0.6,2.9,1.5,4.7,False
20030130,7,5.0,16.0,0.91,1.0029,0.25,0.79,0.8,-0.4,-3.1,2.1,False
20030131,6,2.8,11.0,0.75,1.0182,0.72,0.0,6.2,-3.9,-6.7,-2.2,False
20030201,6,5.4,12.0,0.83,1.0181,0.54,0.49,4.4,-3.5,-8.1,-1.0,False
20030202,8,7.3,15.0,0.92,1.0067,0.22,0.35,0.3,2.4,-1.0,4.8,False
20030203,5,6.4,16.0,0.84,0.9937,0.3,0.76,0.2,3.2,-0.2,5.5,False
20030204,6,5.2,13.0,0.88,0.9948,0.55,0.38,4.3,1.0,-0.9,3.5,False
20030205,6,4.0,10.0,0.9,1.0073,0.45,0.09,3.0,1.9,0.5,4.6,False
20030206,7,3.1,9.0,0.85,1.0199,0.66,0.09,4.9,1.1,-0.8,3.1,False
20030207,8,5.2,10.0,0.94,1.022,0.17,0.1,0.0,2.4,0.7,3.7,False
20030208,8,3.6,8.0,0.96,1.0235,0.34,0.03,0.6,5.1,3.3,6.9,False
20030209,7,2.8,7.0,0.89,1.0203,0.17,0.0,0.0,4.5,-0.2,6.5,False
20030210,3,1.5,5.0,0.88,1.024,0.84,0.0,6.4,0.9,-3.1,4.6,False
20030211,0,2.3,8.0,0.88,1.0278,1.05,0.0,8.9,-0.6,-4.1,4.8,False
20030212,1,3.7,9.0,0.86,1.0291,1.1,0.0,9.0,-2.5,-5.7,0.4,False
20030213,0,3.3,9.0,0.75,1.028,1.1,0.0,8.7,-2.5,-5.9,1.4,False
20030214,1,3.8,8.0,0.63,1.0296,1.06,0.0,8.7,-1.8,-5.7,2.6,False
20030215,4,4.0,10.0,0.8,1.0348,0.72,0.0,5.0,-2.8,-5.4,-0.7,False
20030216,4,4.1,10.0,0.65,1.0364,1.07,0.0,7.6,-1.5,-5.7,1.2,False
20030217,1,3.8,9.0,0.71,1.0366,1.12,0.0,9.1,-2.6,-6.4,2.1,False
20030218,0,3.4,9.0,0.64,1.0285,1.2,0.0,9.3,-1.9,-7.1,3.4,False
20030219,0,5.7,12.0,0.64,1.019,1.18,0.0,9.0,0.2,-4.9,5.6,False
20030220,0,3.0,10.0,0.66,1.0158,1.21,0.0,9.1,1.9,-3.3,8.3,False
20030221,0,2.0,6.0,0.68,1.0221,1.17,0.0,9.3,2.8,-2.1,8.5,False
20030222,0,2.1,5.0,0.73,1.0254,1.21,0.0,9.3,2.2,-3.6,9.4,False
20030223,0,3.3,7.0,0.67,1.0281,1.18,0.0,9.3,5.8,-1.4,13.6,False
20030224,0,2.8,7.0,0.62,1.0274,1.23,0.0,9.2,6.5,0.5,14.3,False
20030225,0,3.1,6.0,0.63,1.0207,1.36,0.0,9.5,4.3,-2.0,11.8,False
20030226,4,2.3,7.0,0.66,1.0147,0.51,0.01,2.9,5.3,-0.1,9.4,False
20030227,6,2.7,9.0,0.61,1.0163,1.05,0.0,5.8,9.3,3.6,15.5,False
20030228,6,4.5,10.0,0.74,1.0211,1.03,0.43,5.3,9.5,5.9,14.4,False
20030301,7,4.3,10.0,0.87,1.0171,1.05,1.02,5.8,9.3,6.3,13.2,False
20030302,8,4.1,10.0,0.93,1.0105,0.46,1.01,0.6,8.0,5.3,10.2,False
20030303,6,2.3,6.0,0.89,1.0202,0.79,0.22,3.0,5.2,1.6,8.7,False
20030304,5,3.5,10.0,0.79,1.021,1.09,0.01,7.4,6.5,0.0,11.3,False
20030305,7,3.8,9.0,0.79,1.0166,0.97,0.01,3.8,11.0,8.3,15.3,False
20030306,6,3.7,12.0,0.88,1.0155,0.19,0.49,0.3,7.1,1.5,10.7,False
20030307,4,4.7,15.0,0.83,1.0204,1.11,0.01,6.4,5.9,0.8,9.8,False
20030308,7,8.9,15.0,0.76,1.0195,0.88,0.0,3.3,8.1,5.5,10.5,False
20030309,6,7.4,16.0,0.68,1.0207,1.25,0.0,6.0,10.5,8.1,15.1,False
20030310,6,5.9,12.0,0.79,1.0233,0.83,0.0,2.2,10.0,6.1,13.2,False
20030311,8,6.4,18.0,0.89,1.0162,0.21,1.66,0.0,10.8,8.6,12.3,False
20030312,8,4.8,10.0,0.86,1.0252,0.56,0.05,1.4,7.5,5.8,9.3,False
20030313,2,4.2,10.0,0.76,1.036,1.56,0.0,7.7,4.8,1.9,8.8,False
20030314,0,4.7,12.0,0.62,1.035,1.81,0.0,10.7,4.9,-0.8,9.9,False
20030315,0,4.5,14.0,0.66,1.0396,1.78,0.0,10.7,5.0,-1.2,11.0,False
20030316,0,3.2,8.0,0.65,1.0416,1.84,0.0,10.9,5.7,-0.7,12.1,False
20030317,2,3.4,11.0,0.72,1.0354,1.78,0.0,10.0,5.4,-0.1,12.7,False
20030318,0,3.0,8.0,0.79,1.0333,1.76,0.0,10.8,5.2,-0.6,11.0,False
20030319,0,2.3,7.0,0.74,1.0298,1.83,0.0,11.0,6.6,0.9,13.2,False
20030320,4,1.7,5.0,0.82,1.0278,1.2,0.0,5.1,4.2,1.2,9.1,False
20030321,2,3.8,10.0,0.71,1.0253,1.88,0.0,10.7,5.2,0.7,10.5,False
20030322,0,5.0,10.0,0.5,1.0251,2.04,0.0,11.1,6.4,0.2,13.5,False
20030323,0,2.0,5.0,0.38,1.0259,1.99,0.0,11.3,9.4,0.6,16.9,False
20030324,3,3.7,10.0,0.45,1.0254,1.87,0.0,10.8,13.7,4.2,20.9,True
20030325,7,1.5,4.0,0.71,1.023,0.84,0.03,1.3,11.6,7.6,15.6,False
20030326,3,2.5,7.0,0.74,1.0192,1.71,0.0,8.1,11.3,6.0,17.1,False
20030327,2,1.8,4.0,0.62,1.0171,1.8,0.0,10.2,11.9,5.4,18.7,True
20030328,3,2.8,8.0,0.57,1.0129,1.89,0.0,10.0,14.7,7.0,21.4,True
20030329,8,2.7,10.0,0.73,1.0132,1.17,0.03,1.8,14.2,10.6,19.0,False
20030330,3,3.4,9.0,0.75,1.0169,1.5,0.0,6.3,11.7,6.5,18.4,True
20030331,1,3.1,8.0,0.69,1.0245,2.13,0.0,10.9,7.6,2.8,12.6,False
20030401,4,7.0,18.0,0.69,1.0126,1.38,0.87,5.2,8.8,2.1,15.6,False
20030402,7,5.1,15.0,0.89,1.0087,0.97,0.82,3.1,4.9,2.1,7.9,False
20030403,5,4.4,13.0,0.77,1.0221,1.32,0.0,4.0,4.0,1.1,8.4,False
20030404,5,2.5,8.0,0.77,1.029,1.77,0.0,7.3,6.1,-1.0,11.0,False
20030405,7,6.0,12.0,0.77,1.0274,1.91,0.0,7.2,7.7,4.8,12.8,False
20030406,5,5.4,15.0,0.62,1.0261,1.39,0.0,5.1,4.7,0.5,8.7,False
20030407,1,3.9,10.0,0.48,1.0265,2.52,0.0,12.2,2.1,-2.3,6.6,False
20030408,2,3.1,10.0,0.47,1.0234,2.5,0.0,12.0,2.5,-2.8,7.2,False
20030409,4,3.8,10.0,0.51,1.0151,2.22,0.0,10.4,2.3,-3.2,7.4,False
20030410,7,2.7,8.0,0.79,1.0072,1.2,0.02,4.2,1.4,-1.6,5.3,False
20030411,2,2.8,8.0,0.64,1.0115,2.02,0.0,10.2,4.1,-3.0,9.7,False
20030412,3,1.9,7.0,0.53,1.0159,2.14,0.0,9.0,8.8,-0.4,15.5,False
20030413,2,3.7,10.0,0.55,1.0204,2.34,0.0,11.3,12.5,4.2,18.7,True
20030414,1,6.0,13.0,0.41,1.0174,2.47,0.0,11.3,14.7,7.9,21.5,True
20030415,0,4.8,11.0,0.42,1.0203,2.63,0.0,12.6,17.0,8.1,24.5,True
20030416,0,5.3,14.0,0.42,1.024,2.59,0.0,12.8,17.3,9.6,23.9,True
20030417,0,5.3,12.0,0.38,1.0278,2.59,0.0,12.8,15.9,9.8,22.4,True
20030418,1,5.4,13.0,0.48,1.0265,2.61,0.0,12.4,12.2,6.1,17.4,False
20030419,5,4.8,12.0,0.75,1.0175,0.87,0.0,2.6,6.3,3.3,9.1,False
20030420,4,3.8,8.0,0.73,1.0104,1.84,0.0,8.0,10.1,1.5,17.0,False
20030421,3,2.5,11.0,0.67,1.0125,2.39,0.19,9.5,15.0,5.9,22.6,False
20030422,7,2.6,9.0,0.67,1.0165,1.76,0.01,5.1,13.1,10.2,17.5,False
20030423,0,2.8,8.0,0.67,1.0169,2.55,0.0,11.9,12.7,5.9,18.2,True
20030424,2,1.9,7.0,0.6,1.016,2.41,0.0,9.7,15.8,6.7,22.6,True
20030425,7,2.8,12.0,0.61,1.0124,1.29,0.15,3.0,17.5,10.7,23.9,False
20030426,7,3.8,17.0,0.95,1.0068,0.42,1.35,0.0,13.2,9.4,15.6,False
20030427,7,7.0,17.0,0.83,1.0099,1.16,0.32,2.3,12.0,10.2,15.0,False
20030428,7,5.2,18.0,0.71,1.0038,1.52,0.05,2.9,16.7,11.0,22.9,False
20030429,5,5.7,14.0,0.73,1.0097,2.29,0.22,9.3,14.8,10.0,18.7,False
20030430,7,4.4,17.0,0.89,1.0091,0.65,0.78,0.8,12.4,9.4,15.1,False
20030501,6,6.7,17.0,0.8,1.0164,1.77,0.12,7.2,11.8,8.1,16.2,False
20030502,6,6.0,20.0,0.74,1.0105,1.5,1.66,3.2,13.5,7.8,20.2,False
20030503,5,8.0,20.0,0.72,1.0191,2.25,0.02,9.0,12.0,7.8,16.3,False
20030504,1,4.0,10.0,0.55,1.0164,3.08,0.0,12.6,16.6,6.0,24.4,True
20030505,5,3.5,10.0,0.68,1.0126,2.2,0.05,6.6,18.0,12.4,22.2,False
20030506,7,2.0,8.0,0.88,1.0218,0.69,0.82,0.1,11.5,9.0,14.4,False
20030507,0,3.0,8.0,0.69,1.0238,3.02,0.0,13.6,12.9,6.0,17.9,False
20030508,3,2.8,8.0,0.66,1.0183,2.47,0.05,8.3,15.2,8.4,21.3,False
20030509,7,2.3,7.0,0.91,1.0176,0.77,0.18,0.4,12.6,10.7,14.9,False
20030510,3,2.8,8.0,0.71,1.0209,2.63,0.0,9.6,12.2,7.9,17.3,False
20030511,4,2.3,8.0,0.67,1.0195,2.49,0.0,8.9,14.4,7.4,19.4,True
20030512,7,5.0,13.0,0.7,1.0162,2.04,0.06,5.0,13.0,10.2,16.2,False
20030513,7,4.8,13.0,0.83,1.016,1.75,0.62,5.6,8.6,5.7,12.7,False
20030514,6,4.6,14.0,0.85,1.0201,1.69,0.14,4.8,8.2,4.9,12.8,False
20030515,4,2.3,7.0,0.84,1.0234,1.9,0.54,6.4,8.9,4.9,13.2,False
20030516,4,1.9,7.0,0.66,1.0161,2.79,0.0,10.9,12.2,3.5,17.6,False
20030517,7,5.0,13.0,0.76,1.0106,1.56,0.07,3.4,14.0,10.3,18.2,False
20030518,7,5.5,19.0,0.85,1.012,1.8,0.89,4.2,14.1,11.1,18.5,False
20030519,6,4.6,13.0,0.92,1.0111,0.95,0.73,1.7,12.4,9.7,14.4,False
20030520,6,8.0,22.0,0.74,1.0156,2.08,0.06,6.9,11.6,9.0,15.5,False
20030521,8,5.3,11.0,0.85,1.0221,1.59,0.23,2.8,12.1,9.3,16.5,False
20030522,8,5.4,13.0,0.92,1.0213,0.51,0.45,0.3,13.7,10.9,16.3,False
20030523,7,5.0,13.0,0.83,1.0135,1.25,0.0,1.5,14.8,12.5,18.9,True
20030524,7,2.7,9.0,0.93,1.0078,0.69,1.45,0.0,14.0,11.8,16.7,False
20030525,5,4.3,13.0,0.82,1.0153,1.77,0.0,4.1,12.8,8.0,16.4,False
20030526,2,2.1,6.0,0.72,1.0233,3.02,0.0,12.9,14.4,6.7,19.7,True
20030527,6,2.9,7.0,0.69,1.0248,2.41,0.0,5.1,17.1,11.3,21.7,True
20030528,3,3.3,8.0,0.71,1.0221,2.7,0.0,10.6,18.6,13.1,23.4,True
20030529,0,3.0,8.0,0.69,1.0175,3.15,0.0,14.1,19.6,12.1,24.9,True
20030530,2,2.2,10.0,0.74,1.0138,2.7,0.07,8.7,21.0,13.8,27.8,False
20030531,3,1.8,5.0,0.79,1.0128,2.55,0.0,8.2,21.1,15.6,26.2,True
